epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,18456.4,0.59568,0.80499,0.34975,1.09629,0.99599,0.99372,0.99481,0.9179,0.99559,0.99332,0.99479,0.91737,0.47386,0.55901,0.20136,0.91237,0.007129,0.007129,0.007129
31,19070.6,0.59276,0.8014,0.348,1.09245,0.99579,0.99355,0.9948,0.91846,0.99559,0.99335,0.9948,0.91787,0.47323,0.55788,0.20168,0.91189,0.00703,0.00703,0.00703
32,19685.1,0.59125,0.80073,0.34812,1.09044,0.99599,0.99354,0.99481,0.91926,0.99579,0.99334,0.9948,0.91895,0.47214,0.55704,0.20367,0.91077,0.006931,0.006931,0.006931
33,20298.1,0.58811,0.79489,0.34568,1.08532,0.99618,0.9934,0.99482,0.91982,0.99598,0.9932,0.99481,0.91959,0.46963,0.55573,0.20541,0.90792,0.006832,0.006832,0.006832
34,20911.1,0.58756,0.79431,0.34321,1.08705,0.99659,0.99368,0.99483,0.92007,0.99619,0.99328,0.99481,0.9199,0.46741,0.55442,0.20493,0.90486,0.006733,0.006733,0.006733
35,21526.4,0.58581,0.79155,0.34325,1.08654,0.99619,0.99404,0.99483,0.9202,0.99579,0.99364,0.99482,0.92036,0.46641,0.55336,0.20385,0.90349,0.006634,0.006634,0.006634
36,22140.1,0.58353,0.79034,0.34065,1.0821,0.99639,0.99417,0.99483,0.92054,0.99599,0.99379,0.99482,0.92099,0.46552,0.55168,0.20139,0.90231,0.006535,0.006535,0.006535
37,22754.6,0.58163,0.7882,0.34055,1.07894,0.99559,0.99426,0.99484,0.92135,0.99519,0.99386,0.99482,0.92114,0.46428,0.55062,0.20113,0.90106,0.006436,0.006436,0.006436
38,23369.2,0.57999,0.78407,0.33904,1.07819,0.99562,0.9944,0.99484,0.92177,0.99522,0.994,0.99482,0.92145,0.4633,0.54969,0.20271,0.89972,0.006337,0.006337,0.006337
39,23983,0.58095,0.78471,0.33887,1.08021,0.99533,0.9944,0.99483,0.922,0.99513,0.9942,0.99482,0.92182,0.4629,0.54935,0.20464,0.89929,0.006238,0.006238,0.006238
