epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1319.94,2.68721,5.42751,2.84029,3.4941,0.97982,0.95659,0.98779,0.76321,0.97891,0.95859,0.98664,0.77409,0.84525,1.0165,0.55404,1.36823,0.00333246,0.00333246,0.00333246
2,2614,0.89752,1.20714,0.63725,1.49556,0.99074,0.9896,0.99457,0.83987,0.99084,0.9894,0.99455,0.84741,0.64379,0.75042,0.3348,1.11719,0.0065998,0.0065998,0.0065998
3,3883.44,0.81152,1.09072,0.53971,1.39613,0.99219,0.9934,0.99481,0.86088,0.99119,0.9924,0.99471,0.86301,0.60282,0.71281,0.29189,1.06925,0.00980115,0.00980115,0.00980115
4,5151.89,0.76863,1.03531,0.4941,1.35354,0.99122,0.99379,0.99482,0.87845,0.99122,0.99373,0.99483,0.87827,0.5622,0.6791,0.2586,1.02365,0.009703,0.009703,0.009703
5,6419.89,0.72163,0.97068,0.44839,1.3101,0.99027,0.995,0.99478,0.8913,0.99008,0.9948,0.99474,0.89189,0.54156,0.64175,0.24719,0.99938,0.009604,0.009604,0.009604
6,7687.53,0.69827,0.9393,0.42634,1.28886,0.99281,0.9944,0.99485,0.89882,0.99281,0.9944,0.99482,0.89846,0.52588,0.62154,0.23912,0.98457,0.009505,0.009505,0.009505
7,8957.11,0.67785,0.9105,0.41306,1.27075,0.99269,0.9948,0.99483,0.90226,0.99251,0.9946,0.99478,0.90182,0.51626,0.60926,0.23439,0.97437,0.009406,0.009406,0.009406
8,10225.3,0.66379,0.8934,0.40007,1.25499,0.99262,0.99503,0.9948,0.90308,0.99202,0.9944,0.99476,0.903,0.50989,0.60191,0.22894,0.96868,0.009307,0.009307,0.009307
9,11493.2,0.65524,0.87957,0.39083,1.24377,0.99308,0.9946,0.99477,0.90353,0.99281,0.99405,0.99477,0.90273,0.50578,0.59751,0.22348,0.96537,0.009208,0.009208,0.009208
10,12760.5,0.64693,0.86757,0.38373,1.23239,0.99342,0.9944,0.99479,0.90565,0.99284,0.9938,0.99476,0.90502,0.50263,0.59263,0.22147,0.96304,0.009109,0.009109,0.009109
11,14028.5,0.63854,0.85811,0.37655,1.22712,0.99393,0.9942,0.99475,0.90514,0.99377,0.994,0.99475,0.90528,0.50084,0.58909,0.22024,0.96119,0.00901,0.00901,0.00901
