epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,872.051,2.56347,5.29808,2.69234,3.38106,0.98393,0.94479,0.97913,0.7548,0.98435,0.94519,0.97538,0.7628,0.85773,1.07609,0.5868,1.39871,0.00333246,0.00333246,0.00333246
2,1714.79,0.93791,1.27906,0.68236,1.51813,0.98848,0.991,0.99426,0.84013,0.98808,0.9906,0.99425,0.84305,0.66905,0.79147,0.31928,1.14224,0.0065998,0.0065998,0.0065998
3,2532.95,0.84553,1.14107,0.57268,1.41201,0.99043,0.9918,0.99452,0.85352,0.99003,0.9914,0.99452,0.85844,0.63511,0.73911,0.29108,1.10659,0.00980115,0.00980115,0.00980115
4,3351.55,0.79558,1.07544,0.51835,1.36597,0.9928,0.99328,0.99478,0.87324,0.992,0.9925,0.99472,0.87331,0.58834,0.70266,0.27706,1.05592,0.009703,0.009703,0.009703
5,4168.12,0.74357,1.00724,0.46721,1.31882,0.9928,0.99291,0.99475,0.88039,0.992,0.99214,0.99467,0.8797,0.56716,0.66996,0.26101,1.03236,0.009604,0.009604,0.009604
6,4985.49,0.71754,0.97386,0.44335,1.29537,0.9934,0.99359,0.99474,0.89085,0.9936,0.99309,0.99473,0.88984,0.55116,0.65044,0.24401,1.0128,0.009505,0.009505,0.009505
7,5804.6,0.69875,0.94759,0.42864,1.27541,0.99284,0.9932,0.99476,0.89242,0.99239,0.993,0.99476,0.89272,0.5477,0.64006,0.2403,1.00656,0.009406,0.009406,0.009406
8,6622.69,0.68393,0.9268,0.4157,1.26215,0.99307,0.9932,0.99478,0.89537,0.9926,0.99328,0.99478,0.89486,0.54345,0.63307,0.2356,1.00174,0.009307,0.009307,0.009307
9,7441.25,0.67465,0.91302,0.40745,1.2465,0.9926,0.9936,0.9948,0.89698,0.9926,0.9936,0.9948,0.8966,0.5415,0.62819,0.22966,0.99989,0.009208,0.009208,0.009208
10,8258.37,0.66505,0.90089,0.40076,1.242,0.99359,0.992,0.99483,0.89837,0.99336,0.9922,0.99485,0.89822,0.53885,0.62408,0.23026,0.99686,0.009109,0.009109,0.009109
