epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,28484.2,0.57268,0.76895,0.33199,1.09035,0.99639,0.99517,0.99478,0.92736,0.99563,0.9944,0.99475,0.92712,0.45612,0.53544,0.19093,0.9065,0.007129,0.007129,0.007129
31,29419.6,0.57244,0.76452,0.3316,1.09007,0.99596,0.9954,0.99478,0.92768,0.99524,0.9948,0.99475,0.92761,0.45511,0.53354,0.1901,0.90455,0.00703,0.00703,0.00703
32,30354.9,0.57003,0.76477,0.33026,1.08284,0.9962,0.99541,0.99479,0.92832,0.9958,0.99501,0.99478,0.92774,0.45433,0.53297,0.18951,0.90149,0.006931,0.006931,0.006931
33,31290.6,0.56611,0.75914,0.32807,1.0749,0.99613,0.9954,0.99479,0.92824,0.99559,0.99457,0.99476,0.92804,0.45374,0.53211,0.18988,0.8963,0.006832,0.006832,0.006832
34,32225.5,0.56516,0.75772,0.32735,1.07395,0.9958,0.99539,0.9948,0.92782,0.99559,0.99439,0.99477,0.92842,0.45382,0.53144,0.19078,0.88877,0.006733,0.006733,0.006733
35,33161.2,0.56248,0.75324,0.32544,1.07179,0.9956,0.9951,0.99479,0.92835,0.99543,0.9942,0.99476,0.92853,0.45264,0.53015,0.19289,0.88483,0.006634,0.006634,0.006634
36,34094.9,0.56266,0.75372,0.32529,1.06905,0.9956,0.99518,0.99479,0.92858,0.995,0.99451,0.99474,0.92789,0.45137,0.52753,0.19364,0.88295,0.006535,0.006535,0.006535
37,35029,0.55973,0.7483,0.32141,1.06624,0.9956,0.99514,0.99474,0.92869,0.9948,0.99427,0.99469,0.92857,0.45261,0.52368,0.20122,0.88352,0.006436,0.006436,0.006436
38,35963.3,0.55781,0.74585,0.32144,1.06745,0.9956,0.99508,0.99473,0.92843,0.9948,0.99422,0.99469,0.92896,0.45129,0.5228,0.20119,0.88281,0.006337,0.006337,0.006337
39,36898.2,0.55521,0.74555,0.32019,1.06413,0.9956,0.99543,0.99476,0.92896,0.99476,0.9946,0.99471,0.92959,0.45006,0.5237,0.19679,0.88087,0.006238,0.006238,0.006238
40,37833,0.55474,0.74359,0.31804,1.06054,0.99599,0.99495,0.99476,0.92965,0.9949,0.9942,0.99472,0.92999,0.44898,0.52132,0.19283,0.87973,0.006139,0.006139,0.006139
41,38767.6,0.55138,0.74065,0.31717,1.05743,0.996,0.995,0.99478,0.93086,0.99499,0.99404,0.99474,0.93042,0.44817,0.51892,0.19003,0.87896,0.00604,0.00604,0.00604
42,39701.2,0.55136,0.73912,0.3165,1.05901,0.99599,0.995,0.99479,0.93027,0.99499,0.994,0.99475,0.93033,0.44716,0.51687,0.18775,0.87755,0.005941,0.005941,0.005941
43,40634.8,0.54859,0.73475,0.31613,1.05724,0.99606,0.995,0.9948,0.93073,0.995,0.9942,0.99476,0.93085,0.44623,0.51605,0.18588,0.87626,0.005842,0.005842,0.005842
44,41568.1,0.54703,0.73609,0.31406,1.0546,0.996,0.995,0.9948,0.93102,0.9948,0.9944,0.99476,0.93073,0.44549,0.5157,0.18525,0.87531,0.005743,0.005743,0.005743
45,42501.8,0.54477,0.73277,0.31436,1.05261,0.9958,0.99492,0.9948,0.93116,0.9952,0.99442,0.99477,0.93086,0.44426,0.51565,0.18442,0.87412,0.005644,0.005644,0.005644
46,43436.3,0.54239,0.72872,0.31138,1.05041,0.9958,0.99559,0.99482,0.9315,0.995,0.99479,0.99477,0.93109,0.44391,0.51486,0.18433,0.87368,0.005545,0.005545,0.005545
47,44368.8,0.54241,0.72837,0.31018,1.05071,0.9958,0.99572,0.99482,0.93156,0.995,0.99494,0.99477,0.93111,0.44318,0.51406,0.18369,0.8727,0.005446,0.005446,0.005446
48,45300.9,0.54086,0.72645,0.30876,1.04975,0.9958,0.99564,0.99482,0.93149,0.9952,0.99504,0.9948,0.93137,0.4427,0.51391,0.18345,0.87149,0.005347,0.005347,0.005347
49,46234.3,0.53907,0.72379,0.30874,1.04571,0.99551,0.996,0.99482,0.93107,0.99491,0.9954,0.99479,0.93147,0.44324,0.51339,0.18304,0.87182,0.005248,0.005248,0.005248
50,47169.4,0.53589,0.72035,0.30534,1.04405,0.9958,0.99562,0.99481,0.93154,0.99528,0.9944,0.99478,0.9314,0.44306,0.51301,0.18272,0.87175,0.005149,0.005149,0.005149
51,48103.3,0.53349,0.71826,0.30724,1.04238,0.99575,0.996,0.99481,0.93128,0.99499,0.9948,0.99477,0.93157,0.44277,0.51279,0.18271,0.87145,0.00505,0.00505,0.00505
52,49036.6,0.53064,0.71597,0.30393,1.03903,0.99615,0.9958,0.9948,0.93126,0.99551,0.9948,0.99477,0.9314,0.44237,0.51169,0.18219,0.8711,0.004951,0.004951,0.004951
53,49974.3,0.52821,0.71102,0.3042,1.0387,0.9958,0.99566,0.99479,0.93123,0.99526,0.9944,0.99475,0.93159,0.44201,0.51203,0.18213,0.87071,0.004852,0.004852,0.004852
54,50913.5,0.52786,0.71097,0.30165,1.03553,0.996,0.9954,0.9948,0.93138,0.99539,0.99449,0.99476,0.93137,0.44185,0.51132,0.18195,0.8709,0.004753,0.004753,0.004753
55,51846.6,0.52491,0.70768,0.30043,1.03479,0.99628,0.9954,0.99481,0.93134,0.99579,0.99478,0.99478,0.93166,0.44131,0.51094,0.18163,0.8705,0.004654,0.004654,0.004654
56,52782.3,0.52366,0.7056,0.29899,1.03196,0.99663,0.9952,0.9948,0.93161,0.99619,0.99459,0.99477,0.93209,0.44064,0.51049,0.1812,0.86999,0.004555,0.004555,0.004555
57,53717.4,0.52108,0.70341,0.29698,1.03035,0.99672,0.9958,0.9948,0.93163,0.99612,0.9952,0.99477,0.93238,0.44064,0.50977,0.18129,0.87017,0.004456,0.004456,0.004456
58,54650,0.52101,0.6988,0.29616,1.03187,0.99619,0.99507,0.99481,0.93098,0.99559,0.99447,0.99478,0.93266,0.44064,0.50996,0.18119,0.87053,0.004357,0.004357,0.004357
59,55584.5,0.51834,0.69775,0.29454,1.02914,0.99619,0.99501,0.99481,0.93173,0.99559,0.99441,0.99477,0.93279,0.44036,0.50992,0.18104,0.87035,0.004258,0.004258,0.004258
60,56517.5,0.51592,0.6951,0.293,1.02798,0.99619,0.99481,0.9948,0.93183,0.99559,0.9943,0.99477,0.93316,0.44007,0.50989,0.18056,0.86986,0.004159,0.004159,0.004159
61,57448.9,0.51299,0.6926,0.2909,1.0254,0.99618,0.9946,0.99479,0.93178,0.99578,0.9942,0.99473,0.93308,0.43928,0.50994,0.18015,0.86937,0.00406,0.00406,0.00406
62,58381.6,0.5102,0.68961,0.28848,1.0236,0.99679,0.99461,0.9948,0.93224,0.99639,0.9944,0.99476,0.93291,0.43849,0.51015,0.17912,0.86933,0.003961,0.003961,0.003961
63,59315.4,0.51033,0.68704,0.29074,1.02174,0.99656,0.995,0.99482,0.93175,0.9959,0.9946,0.99477,0.93289,0.43835,0.51006,0.17869,0.86926,0.003862,0.003862,0.003862
64,60247.5,0.50728,0.68483,0.2872,1.01899,0.99649,0.9946,0.99482,0.93187,0.99579,0.99422,0.99478,0.93285,0.43781,0.51041,0.17865,0.86903,0.003763,0.003763,0.003763
65,61179.4,0.50393,0.68059,0.28704,1.01934,0.99659,0.99481,0.99482,0.93203,0.99599,0.99431,0.99478,0.93278,0.43783,0.51066,0.17847,0.86954,0.003664,0.003664,0.003664
66,62114.1,0.49976,0.67636,0.28302,1.01629,0.99604,0.995,0.99483,0.93203,0.99568,0.9946,0.99479,0.93295,0.43771,0.51256,0.17826,0.8699,0.003565,0.003565,0.003565
67,63046.8,0.49838,0.67445,0.2816,1.0165,0.99592,0.995,0.99484,0.93185,0.9954,0.99468,0.9948,0.93268,0.43761,0.51244,0.17806,0.87036,0.003466,0.003466,0.003466
68,63979.9,0.49665,0.67048,0.28041,1.01505,0.9964,0.99546,0.99483,0.932,0.9958,0.99486,0.9948,0.93298,0.43722,0.51338,0.17847,0.87057,0.003367,0.003367,0.003367
69,64913.5,0.49398,0.66995,0.27884,1.01117,0.99639,0.99506,0.9948,0.93168,0.99599,0.99466,0.99482,0.93294,0.43773,0.51599,0.17926,0.8717,0.003268,0.003268,0.003268
70,65847.9,0.48962,0.66448,0.27765,1.00815,0.99603,0.995,0.99479,0.93163,0.99563,0.9946,0.99481,0.93206,0.43729,0.51617,0.17933,0.87181,0.003169,0.003169,0.003169
71,66782.8,0.4879,0.66052,0.27572,1.0067,0.99639,0.99464,0.99479,0.93176,0.99619,0.99444,0.9948,0.932,0.43722,0.51788,0.17976,0.87204,0.00307,0.00307,0.00307
72,67717.3,0.48561,0.65821,0.27459,1.00438,0.99639,0.99459,0.99479,0.93211,0.99619,0.99439,0.99481,0.93204,0.43756,0.51907,0.17962,0.87285,0.002971,0.002971,0.002971
73,68651,0.482,0.65569,0.2723,1.00289,0.99639,0.99477,0.9948,0.93208,0.99619,0.99457,0.99481,0.93183,0.43819,0.52036,0.18007,0.87424,0.002872,0.002872,0.002872
74,69585.1,0.47987,0.64974,0.26918,1.00033,0.99598,0.9954,0.99482,0.93159,0.99558,0.995,0.99483,0.93206,0.43843,0.52177,0.17994,0.87524,0.002773,0.002773,0.002773
75,70520.2,0.47752,0.64608,0.26884,0.99908,0.9958,0.99589,0.99482,0.93154,0.9954,0.99549,0.99484,0.93261,0.43847,0.52106,0.17986,0.87604,0.002674,0.002674,0.002674
76,71454,0.47494,0.64508,0.2653,0.99726,0.99593,0.9956,0.99482,0.93165,0.99553,0.9952,0.99484,0.93271,0.43852,0.52268,0.18047,0.87706,0.002575,0.002575,0.002575
77,72388.9,0.46931,0.63828,0.26488,0.99343,0.99668,0.9948,0.99483,0.93128,0.99628,0.9944,0.99484,0.93253,0.43812,0.52461,0.18082,0.8776,0.002476,0.002476,0.002476
78,73322.4,0.46671,0.63517,0.26173,0.99262,0.99634,0.9948,0.99483,0.93118,0.99594,0.9944,0.99484,0.93269,0.43806,0.52606,0.1812,0.87838,0.002377,0.002377,0.002377
79,74255.8,0.46298,0.62903,0.25853,0.98999,0.99679,0.99512,0.99481,0.93082,0.99639,0.99472,0.99482,0.93235,0.43829,0.5263,0.18142,0.87967,0.002278,0.002278,0.002278
80,75190.1,0.46029,0.62623,0.25761,0.98954,0.99679,0.99529,0.99482,0.93122,0.99619,0.99469,0.99481,0.93257,0.43827,0.52903,0.18147,0.88078,0.002179,0.002179,0.002179
81,76124.4,0.45718,0.62306,0.25567,0.98644,0.99679,0.99454,0.99483,0.93078,0.99639,0.99414,0.99487,0.93278,0.43821,0.52609,0.18125,0.88238,0.00208,0.00208,0.00208
82,77056.4,0.45347,0.61707,0.25357,0.98403,0.99699,0.99487,0.99481,0.93082,0.99659,0.99447,0.99486,0.93231,0.43937,0.53266,0.18195,0.8844,0.001981,0.001981,0.001981
83,77988.6,0.45084,0.61459,0.2517,0.98249,0.99705,0.9944,0.9948,0.93022,0.99665,0.994,0.99479,0.9321,0.44025,0.53528,0.18252,0.88638,0.001882,0.001882,0.001882
84,78923.9,0.44671,0.60733,0.2487,0.97909,0.99652,0.9952,0.99487,0.92999,0.99612,0.9948,0.99486,0.93186,0.44086,0.53811,0.18253,0.88804,0.001783,0.001783,0.001783
85,79858.2,0.44212,0.60245,0.24635,0.97706,0.99699,0.99517,0.99486,0.92963,0.99679,0.99497,0.99485,0.9318,0.44158,0.53967,0.18241,0.89013,0.001684,0.001684,0.001684
86,80792.2,0.43744,0.59759,0.24327,0.97485,0.99659,0.99482,0.99486,0.92915,0.99639,0.99462,0.99486,0.93157,0.44165,0.54416,0.18243,0.89239,0.001585,0.001585,0.001585
87,81725.2,0.43365,0.59225,0.24037,0.97397,0.99759,0.99426,0.99488,0.92956,0.99719,0.99382,0.99486,0.93158,0.44192,0.54639,0.18299,0.89487,0.001486,0.001486,0.001486
88,82659,0.42885,0.58414,0.23803,0.97049,0.99739,0.99414,0.99488,0.92876,0.99706,0.9936,0.99487,0.93113,0.44197,0.55053,0.18332,0.89732,0.001387,0.001387,0.001387
89,83593.3,0.4252,0.58011,0.23572,0.96807,0.99644,0.9948,0.99486,0.92852,0.99604,0.9944,0.99487,0.93106,0.44248,0.55623,0.18396,0.90039,0.001288,0.001288,0.001288
90,84524.9,0.4202,0.57429,0.23255,0.96558,0.99699,0.99473,0.99484,0.92852,0.99659,0.99433,0.99484,0.93103,0.44298,0.56486,0.18451,0.90329,0.001189,0.001189,0.001189
