epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,18730.6,0.59911,0.81169,0.35819,1.1465,0.99519,0.99325,0.99488,0.91275,0.9949,0.9924,0.99486,0.91496,0.48261,0.56938,0.20768,0.94527,0.007129,0.007129,0.007129
31,19358.9,0.59724,0.8077,0.35652,1.14211,0.99539,0.9934,0.99488,0.91241,0.99519,0.99245,0.99486,0.91507,0.4824,0.56888,0.20775,0.94513,0.00703,0.00703,0.00703
32,19982.5,0.59557,0.80451,0.35504,1.12988,0.99542,0.9934,0.99489,0.91275,0.99519,0.99255,0.99487,0.91535,0.48222,0.56822,0.20788,0.94512,0.006931,0.006931,0.006931
33,20601.7,0.59204,0.80132,0.35341,1.13143,0.99582,0.9932,0.99489,0.91284,0.99534,0.9926,0.99487,0.91517,0.48185,0.56744,0.20791,0.94464,0.006832,0.006832,0.006832
34,21223.4,0.5916,0.79945,0.35286,1.13254,0.99561,0.993,0.99489,0.91325,0.9953,0.9926,0.99487,0.91507,0.48154,0.5668,0.20784,0.94456,0.006733,0.006733,0.006733
35,21839.9,0.58935,0.79702,0.35031,1.12292,0.99555,0.9932,0.99489,0.91358,0.99524,0.9926,0.99486,0.91537,0.48098,0.56595,0.20756,0.94426,0.006634,0.006634,0.006634
36,22460.7,0.58727,0.79503,0.34943,1.12141,0.99591,0.9932,0.99489,0.91356,0.99546,0.9926,0.99486,0.91548,0.48056,0.56497,0.2076,0.94388,0.006535,0.006535,0.006535
37,23085.2,0.58607,0.79308,0.34911,1.11834,0.99582,0.9928,0.99488,0.9141,0.99546,0.9924,0.99486,0.91581,0.48003,0.56438,0.20737,0.94291,0.006436,0.006436,0.006436
38,23710.2,0.58478,0.78943,0.34627,1.11209,0.99607,0.9932,0.99488,0.91456,0.99579,0.99279,0.99486,0.91603,0.47944,0.56362,0.20715,0.94166,0.006337,0.006337,0.006337
39,24331.3,0.58361,0.78868,0.34617,1.10611,0.99619,0.99353,0.99489,0.91495,0.99579,0.99302,0.99487,0.91644,0.47881,0.56299,0.20644,0.94076,0.006238,0.006238,0.006238
40,24954,0.58298,0.78725,0.34386,1.10207,0.99602,0.9932,0.99489,0.91574,0.99548,0.9926,0.99486,0.91672,0.47814,0.56221,0.20618,0.93969,0.006139,0.006139,0.006139
41,25579.5,0.5795,0.78273,0.34087,1.09721,0.99594,0.9932,0.99489,0.91561,0.99572,0.9924,0.99487,0.91733,0.47725,0.56127,0.20564,0.93855,0.00604,0.00604,0.00604
42,26203.8,0.57762,0.78388,0.34059,1.0968,0.99611,0.9932,0.9949,0.91626,0.99582,0.9926,0.99488,0.91779,0.4767,0.56029,0.20541,0.93758,0.005941,0.005941,0.005941
43,26828.4,0.57638,0.78314,0.33986,1.09382,0.99609,0.9936,0.9949,0.91642,0.99559,0.99265,0.99488,0.91797,0.47594,0.55924,0.20537,0.93656,0.005842,0.005842,0.005842
44,27450.3,0.57743,0.78261,0.33966,1.09583,0.996,0.9936,0.99491,0.91719,0.99513,0.9926,0.99488,0.91858,0.47537,0.55817,0.20479,0.93554,0.005743,0.005743,0.005743
45,28076.7,0.5748,0.77896,0.33935,1.09244,0.99599,0.9941,0.9949,0.91718,0.99519,0.9933,0.99487,0.91897,0.47471,0.55684,0.20458,0.93424,0.005644,0.005644,0.005644
46,28707,0.57337,0.77623,0.33733,1.08961,0.99599,0.99419,0.99491,0.91736,0.99539,0.99359,0.99487,0.91939,0.47403,0.55549,0.20428,0.93293,0.005545,0.005545,0.005545
47,29331.2,0.57048,0.7719,0.33485,1.08404,0.99579,0.99439,0.99491,0.91804,0.99519,0.99379,0.99487,0.91969,0.47324,0.55523,0.2038,0.93156,0.005446,0.005446,0.005446
48,29965.3,0.56895,0.76916,0.33506,1.08394,0.99592,0.9942,0.99491,0.91848,0.99532,0.9936,0.99489,0.92004,0.47247,0.55391,0.2038,0.93023,0.005347,0.005347,0.005347
49,30595.7,0.56738,0.7677,0.33379,1.08111,0.99559,0.99403,0.9949,0.91811,0.99539,0.99383,0.99489,0.92019,0.47179,0.55307,0.20326,0.92849,0.005248,0.005248,0.005248
50,31242.1,0.565,0.76512,0.33221,1.07824,0.99566,0.9948,0.99491,0.9183,0.99506,0.9942,0.99488,0.92034,0.47138,0.55183,0.20306,0.92591,0.005149,0.005149,0.005149
51,31874.9,0.56475,0.76524,0.33238,1.08036,0.99599,0.99492,0.9949,0.91866,0.99579,0.99472,0.9949,0.92055,0.47106,0.55066,0.20268,0.92389,0.00505,0.00505,0.00505
52,32506.4,0.56229,0.76194,0.32936,1.07423,0.99599,0.99492,0.9949,0.91893,0.99579,0.99472,0.9949,0.92104,0.47055,0.55017,0.20246,0.92092,0.004951,0.004951,0.004951
53,33136.7,0.56094,0.76024,0.32936,1.07612,0.99599,0.99492,0.9949,0.91942,0.99559,0.99452,0.99488,0.92192,0.47059,0.5489,0.20192,0.9181,0.004852,0.004852,0.004852
54,33773.1,0.56071,0.75977,0.32744,1.07648,0.99587,0.9954,0.9949,0.91933,0.99547,0.995,0.99488,0.92183,0.4702,0.54803,0.2017,0.91597,0.004753,0.004753,0.004753
55,34403,0.55815,0.75572,0.32524,1.07001,0.99589,0.9954,0.99491,0.91948,0.99529,0.9948,0.99488,0.92189,0.46998,0.54713,0.20114,0.91229,0.004654,0.004654,0.004654
56,35022.4,0.55627,0.75275,0.32556,1.069,0.996,0.99517,0.99491,0.91956,0.9954,0.99457,0.99488,0.92278,0.46988,0.54691,0.20033,0.90912,0.004555,0.004555,0.004555
57,35642.3,0.55546,0.75191,0.32368,1.06853,0.996,0.99517,0.99491,0.92008,0.9954,0.99457,0.99489,0.92326,0.46951,0.5458,0.19927,0.90702,0.004456,0.004456,0.004456
